index,word,,,,boundary,corrected,filler,comments,,,glossary,
1697,landlord,landlord,703.29,704.11,1,,,,,,,
1698,um,um,704.44,704.88,0,,1,,,,,
1699,i,i,704.89,704.9,0,,,,,,,
1700,forgot,forgot,704.93,705.24,0,,,,,,,
1701,her,her,705.24,705.34,0,,,,,,,
1702,name,name,705.34,705.71,1,,,,,,,
1703,but,but,706.06,706.35,0,,,,,,,
1704,she's,she's,706.37,706.71,0,,,,,,,
1705,also,also,706.71,707.01,0,,,,,,,
1706,there,there,707.01,707.23,0,,,,,,,
1707,with,with,707.23,707.41,0,,,,,,,
1708,them,them,707.41,707.55,1,,,,,,,
1709,and,and,707.55,707.78,0,,,,,,,
1710,greets,greets,707.79,708.09,0,,,,,,,
1711,them,them,708.09,708.17,0,,,,,,,
1712,both,both,708.17,708.41,1,,,,,,,
1713,um,um,708.69,709.31,0,,1,,,,,
1714,we,we,710.46,710.63,0,,,,,,,
1715,see,see,711.2,711.37,0,,,,,,,
1716,that,that,711.37,711.75,0,,,,,,,
1717,sherlock's,<unk>,712.51,712.65,0,,,,,,,
1718,flat,flat,712.74,713.05,0,,,,,,,
1719,is,is,713.059999,713.309999,0,,,,,,,
1720,a,a,713.4,713.49,0,,,,,,,
1721,complete,complete,713.49,713.82,0,,,,,,,
1722,mess,mess,713.84,714.13,1,,,,,,,
1723,uh,uh,715.87,716.18,0,,1,,,,,
1724,there's,there's,716.21,716.58,0,,,,,,,
1725,books,books,716.63,717.05,0,,,,,,,
1726,things,things,717.45,717.9,1,,,,,,,
1727,there's,there's,720.11,720.17,0,,,,,,,
1728,this,this,720.17,720.2,0,,,,,,,
1729,skull,,,,0,,,,,,,
1730,poster,,,,0,,,,,,,
1731,on,on,720.369999,720.389999,0,,,,,,,
1732,the,the,720.4,720.54,0,,,,,,,
1733,wall,wall,720.54,720.82,1,,,,,,,
1734,there's,there's,720.82,721.1,0,,,,,,,
1735,another,another,721.1,721.52,0,,,,,,,
1736,actual,actual,721.56,722.02,0,,,,,,,
1737,skull,skull,722.03,722.36,0,,,,,,,
1738,sitting,sitting,722.4,722.66,0,,,,,,,
1739,above,above,722.66,722.84,0,,,,,,,
1740,the,the,722.85,722.95,0,,,,,,,
1741,fireplace,fireplace,722.95,723.46,1,,,,,,,
1742,uh,uh,723.87,724.07,0,,1,,,,,
1743,the,the,724.07,724.18,0,,,,,,,
1744,kitchen,,,,0,,,,,,,
1744a,is,,,,0,,,,,,,
1745,a,a,724.51,724.57,0,,,,,,,
1746,mess,mess,724.57,724.81,1,,,,,,,
1747,it,,,,0,,,,,,,
1748,looks,,,,0,,,,,,,
1749,like,,,,0,,,,,,,
1750,there's,there's,725.12,725.28,0,,,,,,,
1751,lots,lots,725.28,725.48,0,,,,,,,
1752,of,of,725.48,725.62,0,,,,,,,
1753,like,like,725.62,725.77,0,,1,,,,,
1754,chemistry,chemistry,725.82,726.42,0,,,,,,,
1755,lab,lab,726.42,726.72,0,,,,,,,
1756,equipment,equipment,726.72,726.94,0,,,,,,,
1757,on,on,727.13,727.25,0,,,,,,,
1758,there,there,727.25,727.52,1,,,,,,,
1759,um,um,727.96,728.51,0,,1,,,,,
1760,but,but,729.17,729.44,0,,2,,,,,
1761,yeah,yeah,729.46,729.78,0,,2,,,,,
1762,so,so,729.78,729.94,0,,2,,,,,
1763,then,then,729.94,730.3,0,,2,,,,,
1764,uh,uh,731.94,732.08,0,,1,,,,,
1765,they,they,732.08,732.24,0,,,,,,,
1766,go,go,732.24,732.36,0,,,,,,,
1767,into,into,732.36,732.43,0,,,,,,,
1768,there,there,733.059999,733.549999,1,,,,,,,
1769,and,and,733.88,734.21,0,,,,,,,
1770,then,then,734.21,734.29,0,,,,,,,
1771,there,there,734.29,734.69,0,,,,,,,
1772,they,they,734.69,734.85,0,,,,,,,
1773,talk,talk,734.849999,735.219999,0,,,,,,,
1774,for,for,735.25,735.41,0,,,,,,,
1775,a,a,735.41,735.48,0,,,,,,,
1776,little,little,735.48,735.76,0,,,,,,,
1777,bit,bit,735.759999,736.129999,1,,,,,,,
1778,um,um,736.529999,737.479999,0,,1,,,,,
1779,sherlock,sherlock,738.479999,739.179999,0,,,,,,,
1780,uh,uh,739.999999,740.009999,0,,,,,,,
1781,he,,,,0,,,,,,,
1782,he,he,740.52,741.25,0,,,repetition,,,,
1783,makes,makes,742.34,742.64,0,,,,,,,
1784,some,some,742.91,743.15,0,,,,,,,
1785,comments,comments,743.15,743.55,0,,,,,,,
1786,about,about,743.81,744.17,0,,,,,,,
1787,to,to,744.18,744.52,2,,,she changed her mind,,,,
1788,um,um,744.69,745.01,0,,1,,,,,
1789,his,,,,0,,,,,,,
1790,landlady,landlady,745.07,745.69,0,,,,,,,
1791,about,about,746.08,746.62,0,,,,,,,
1792,um,um,747.16,748.03,0,,1,,,,,
1793,having,having,748.099999,748.439999,0,,,,,,,
1794,her,her,748.44,748.6,0,,,,,,,
1795,make,make,748.599999,748.849999,0,,,,,,,
1796,him,him,749.79,749.92,0,,,,,,,
1797,tea,tea,749.92,750.08,1,,,,,,,
1798,or,or,750.08,750.45,0,,,,,,,
1799,clean,clean,750.53,750.75,0,,,,,,,
1800,up,up,750.75,750.86,0,,,,,,,
1801,the,the,750.86,750.95,0,,,,,,,
1802,kitchen,kitchen,750.95,751.26,1,,,,,,,
1803,or,or,751.259999,751.299999,0,,,,,,,
1804,something,something,751.299999,751.599999,0,,,,,,,
1805,along,along,751.599999,751.779999,0,,,,,,,
1806,those,those,751.78,751.95,0,,,,,,,
1807,lines,lines,751.95,752.18,1,,,,,,,
1808,and,and,752.95,752.98,0,,,,,,,
1809,she's,she's,752.98,753.01,0,,,,,,,
1810,kind,kind,753.01,753.06,0,,,,,,,
1811,of,of,753.06,753.18,0,,,,,,,
1812,protesting,protesting,753.18,753.52,1,,,,,,,
1813,i,i,753.82,754.04,0,,,start of quote,,,,
1814,am,am,754.039999,754.189999,0,,,,,,,
1815,not,not,754.190001,754.500001,0,,,,,,,
1816,like,like,754.5,754.62,0,,1,,,,,
1817,a,a,754.619999,754.669999,0,,,,,,,
1818,housekeeper,housekeeper,754.67,755.29,1,,,,,,,
1819,I'm,i'm,755.289999,755.539999,0,,,,,,,
1820,the,the,755.58,755.69,0,,,,,,,
1821,landlord,landlord,755.690001,756.100001,0,,,,,,,
1822,here,here,756.139999,756.429999,1,,,end of quote,,,,
1823,but,but,756.799999,757.039999,0,,,,,,,
1824,um,um,757.09,757.58,0,,1,,,,,
1825,yeah,yeah,758.8,759.12,0,,2,,,,,
1826,he,he,759.12,759.57,0,,,changed her mind,,,,
1827,they,they,759.86,760.21,0,,,,,,,
1828,uh,uh,760.4,760.56,0,,1,,,,,
1829,talk,talk,760.6,760.84,0,,,,,,,
1830,about,about,760.84,761.16,0,,,,,,,
1831,the,the,761.16,761.37,0,,,,,,,
1832,three,three,761.42,761.79,0,,,,,,,
1833,linked,linked,761.79,762.06,0,,,,,,,
1834,suicides,suicides,762.19,762.84,1,,,,,,,
1835,i,i,762.84,762.86,0,,,,,,,
1836,believe,believe,762.86,762.96,0,,,,,,,
1837,prompted,prompted,763.74,764.1,0,,,,,,,
1838,by,by,764.099999,764.229999,0,,,,,,,
1839,a,a,764.23,764.25,0,,,,,,,
1840,newspaper,newspaper,764.5,764.79,1,,,,,,,
1841,and,and,765.34,765.55,0,,,,,,,
1842,then,then,765.55,765.89,0,,,,,,,
1843,uh,uh,765.94,766.3,0,,1,,,,,
1844,while,while,766.309999,766.509999,0,,,,,,,
1845,they're,they're,766.51,766.62,0,,,,,,,
1846,talking,talking,766.62,766.87,0,,,,,,,
1847,about,,,,0,,,,,,,
1848,it,,,,0,,,,,,,
1849,sherlock,sherlock,767.2,767.59,0,,,,,,,
1850,looks,looks,767.59,767.79,0,,,,,,,
1851,out,out,767.79,767.92,0,,,,,,,
1852,the,the,768.38,768.4,0,,,,,,,
1853,window,window,768.4,768.45,1,,,,,,,
1854,and,and,768.45,768.49,0,,,,,,,
1855,says,says,768.49,768.82,1,,,,,,,
1856,well,well,769.07,769.26,1,,2,start quote,,,,
1857,now,now,769.26,769.46,0,,,,,,,
1858,it's,it's,769.49,769.52,0,,,,,,,
1859,four,four,769.55,769.95,1,,,end quote,,,,
1860,so,so,769.95,770.14,0,,2,,,,,
1861,somehow,somehow,770.14,770.63,0,,,,,,,
1862,he,he,770.98,771.12,0,,,,,,,
1863,sees,sees,771.12,771.24,0,,,,,,,
1864,a,a,771.53,771.76,0,,,,,,,
1865,police,police,771.759999,772.089999,0,,,,,,,
1866,car,car,772.09,772.44,1,,,,,,,
1867,and,and,772.440001,772.530001,0,,,,,,,
1868,just,just,772.529999,772.689999,0,,,,,,,
1869,immediately,immediately,772.690001,773.060001,0,,,,,,,
1870,knows,knows,773.059999,773.339999,0,,,,,,,
1871,that,that,773.35,773.62,0,,,,,,,
1872,it's,,,,0,,,I think it's noise,,,,
1873,that,that,774.23,774.51,0,,,,,,,
1874,means,means,774.52,774.79,0,,,,,,,
1875,that,that,774.81,775.1,0,,,,,,,
1876,there,there,775.369999,775.519999,0,,,,,,,
1877,has,has,775.589999,775.679999,0,,,,,,,
1878,been,been,775.679999,775.939999,0,,,,,,,
1879,a,a,776.36,776.37,0,,,,,,,
1880,suicide,suicide,776.37,776.77,1,,,,,,,
1881,oh,oh,776.81,777.07,0,,1,,,,,
1882,um,um,777.07,777.45,0,,1,,,,,
1883,yeah,yeah,777.65,777.94,0,,2,,,,,
1884,so,so,778.16,778.25,0,,2,,,,,
1885,before,before,778.34,778.62,0,,,,,,,
1886,this,this,778.62,778.81,0,,,,,,,
1887,scene,scene,778.82,779.18,1,,,,,,,
1888,there,there,779.38,779.55,0,,,,,,,
1889,was,,,,0,,,,,,,
1890,another,another,779.65,779.96,0,,,,,,,
1891,one,one,779.97,780.1,0,,,,,,,
1892,of,of,780.1,780.18,0,,,,,,,
1893,those,those,780.18,780.34,0,,,,,,,
1894,unclear,unclear,780.51,781.02,0,,,,,,,
1895,fuzzy,fuzzy,781.02,781.44,0,,,,,,,
1896,suicide,suicide,781.44,781.92,0,,,,,,,
1897,scenes,scenes,781.92,782.13,1,,,,,,,
1898,where,where,782.13,782.2,0,,,,,,,
1899,we,we,782.2,782.32,0,,,,,,,
1900,see,see,782.32,782.58,0,,,,,,,
1901,a,a,782.61,782.92,0,,,,,,,
1902,woman,woman,783.21,783.71,0,,,,,,,
1903,with,with,783.71,784.08,0,,,,,,,
1904,bright,bright,784.33,784.71,0,,,,,,,
1905,red,red,785.33,785.69,0,,,,,,,
1906,nails,nails,785.719999,786.189999,1,,,,,,,
1907,reaching,reaching,786.2,786.53,0,,,,,,,
1908,for,for,786.58,786.81,0,,,,,,,
1909,yet,yet,786.809999,786.989999,0,,,,,,,
1910,again,again,786.99,787.22,0,,,,,,,
1911,that,that,787.219999,787.319999,0,,,,,,,
1912,same,same,787.349999,787.569999,0,,,,,,,
1913,pill,pill,787.57,787.81,0,,,,,,,
1914,bottle,bottle,787.83,788.25,0,,,,,,,
1915,with,with,788.44,788.67,0,,,,,,,
1916,those,,,,0,,,,,,,
1917,pills,pills,788.83,789.12,0,,,,,,,
1918,in,in,789.12,789.23,0,,,,,,,
1919,it,it,789.23,789.42,1,,,,,,,
1920,and,and,789.46,789.64,0,,,,,,,
1921,then,,,,0,,,,,,,
1922,um,,,,0,,1,,,,,
1923,so,so,790.27,790.37,0,,2,,,,,
1924,we,we,790.369999,790.479999,0,,,,,,,
1925,can,can,790.48,790.59,0,,,,,,,
1926,assume,assume,790.59,790.85,0,,,,,,,
1927,that,that,790.85,790.97,0,,,,,,,
1928,she,she,790.969999,791.289999,0,,,,,,,
1929,committed,committed,791.369999,791.619999,0,,,,,,,
1930,suicide,suicide,791.82,791.99,0,,,,,,,
1931,in,in,791.99,792.07,0,,,,,,,
1932,the,the,792.07,792.17,0,,,,,,,
1933,same,same,792.17,792.4,0,,,,,,,
1934,manner,manner,792.41,792.57,1,,,,,,,
1935,so,so,794.25,794.67,0,,2,,,,,
1936,um,um,794.7,795.01,0,,1,,,,,
1937,so,,,,0,,2,,,,,
1938,back,,,,0,,,,,,,
1939,to,,,,0,,,,,,,
1940,the,the,796.31,796.66,0,,,,,,,
1941,sherlock,sherlock,796.67,797.28,1,,,,,,,
1942,um,um,797.81,798.3,0,,1,,,,,
1943,flat,flat,798.31,798.59,0,,,,,,,
1944,scene,scene,798.59,798.86,1,,,,,,,
1945,he's,he's,799.12,799.27,0,,,,,,,
1946,looking,looking,799.27,799.5,0,,,,,,,
1947,out,out,799.5,799.59,0,,,,,,,
1948,the,the,799.59,799.66,0,,,,,,,
1949,window,window,799.86,799.97,1,,,,,,,
1950,he,he,799.97,800.1,0,,,,,,,
1951,says,says,800.1,800.55,1,,,,,,,
1952,this,this,801.46,801.49,0,,,start quote,,,,
1953,time,time,801.49,801.73,0,,,,,,,
1954,it's,it's,801.75,801.93,0,,,,,,,
1955,unusual,unusual,801.929999,802.489999,0,,,,,,,
1956,though,though,802.49,802.83,1,,,,,,,
1957,um,um,802.83,803.53,0,,1,,,,,
1958,number,number,804.19,804.47,0,,,,,,,
1959,four,four,804.469999,804.789999,0,,,,,,,
1960,is,is,805.38,805.47,2,,,,,,,
1961,this,,,,0,,,a mistake,,,,
1962,is,,,,0,,,,,,,
1963,different,different,805.469999,805.849999,1,,,end quote,,,,
1964,so,so,806.13,806.57,0,,2,,,,,
1965,not,not,807,807.25,0,,,,,,,
1966,long,long,807.25,807.42,0,,,,,,,
1967,after,after,807.42,807.64,0,,,,,,,
1968,he,he,807.639999,807.779999,0,,,,,,,
1969,says,,,,0,,,,,,,
1970,this,,,,1,,,,,,,
1971,there's,there's,808.27,808.82,0,,,,,,,
1972,a,a,809.139999,810.029999,0,,,,,,,
1973,man,man,810.2,810.55,0,,,,,,,
1974,who,who,810.55,810.77,0,,,,,,,
1975,comes,comes,810.8,811.07,0,,,,,,,
1976,up,up,811.07,811.19,0,,,,,,,
1977,the,the,811.19,811.29,0,,,,,,,
1978,stairs,stairs,811.29,811.6,0,,,,,,,
1979,into,into,811.6,811.79,0,,,,,,,
1980,sherlock's,<unk>,811.79,812.12,0,,,,,,,
1981,flat,flat,812.19,812.55,1,,,,,,,
1982,um,um,812.95,813.34,0,,1,,,,,
1983,I'll,i'll,813.81,814.07,0,,,,,,,
1984,call,call,814.12,814.41,0,,,,,,,
1985,him,him,814.41,814.66,0,,,,,,,
1986,like,like,814.9,815.13,0,,1,,,,,
1987,the,the,815.16,815.29,0,,,,,,,
1988,invest,invest,815.29,815.63,0,,,,,,,
1989,or,or,815.71,815.94,0,,,,,,,
1990,police,police,816.02,816.38,0,,,,,,,
1991,investigator,investigator,816.38,816.97,1,,,,,,,
1992,from,from,816.97,817.33,0,,,,,,,
1993,here,here,817.53,817.77,0,,,,,,,
1994,on,on,817.77,817.84,0,,,,,,,
1995,out,out,817.85,818.07,1,,,,,,,
1996,just,,,,0,,,,,,,
1997,for,for,818.58,818.74,0,,,,,,,
1998,clarity's,<unk>,818.74,819.11,0,,,,,,,
1999,sake,sake,819.11,819.42,1,,,,,,,
2000,so,so,819.42,819.65,0,,,,,,,
2001,the,the,820.5,820.52,0,,,,,,,
2002,policeman,policeman,820.52,820.86,2,,,,,,,
2003,um,um,821.42,821.84,0,,1,,,,,
2004,he,he,823.27,823.65,0,,,,,,,
2005,doesn't,doesn't,823.67,823.94,0,,,,,,,
2006,even,even,823.94,824.18,0,,,,,,,
2007,say,say,824.82,824.92,0,,,,,,,
2008,anything,anything,824.92,825.1,0,,,,,,,
2009,to,to,825.1,825.12,0,,,,,,,
2010,sherlock,sherlock,825.389999,825.739999,1,,,,,,,
2011,i,i,825.74,825.79,0,,,,,,,
2012,don't,don't,825.79,825.94,0,,,,,,,
2013,think,think,825.94,826.32,1,,,,,,,
2014,before,,,,0,,,,,,,
2015,sherlock,sherlock,826.76,827.1,0,,,,,,,
2016,says,says,827.1,827.42,0,,,,,,,
2017,like,like,827.43,827.7,0,,1,,,,,
2018,um,um,828.199999,828.759999,0,,1,,,,,
2019,like,like,829.3,829.59,0,,1,,,,,
2020,what's,what's,830.08,830.52,0,,,,,,,
2021,different,different,830.52,830.8,0,,,,,,,
2022,about,about,830.8,830.98,0,,,,,,,
2023,this,this,831.12,831.15,0,,,,,,,
2024,case,case,831.15,831.42,1,,,,,,,
2025,and,and,831.85,832.04,0,,,,,,,
2026,then,then,832.04,832.27,0,,,,,,,
2027,he,he,832.28,832.45,0,,,,,,,
2028,asks,asks,832.45,832.68,1,,,,,,,
2029,why,why,832.96,833.55,0,,,start quote,,,,
2030,like,like,833.59,833.76,2,,1,,,,,
2031,why,why,833.76,833.92,0,,,repetition,,,,
2032,do,do,834.81,834.83,0,,,,,,,
2033,you,you,834.83,834.85,0,,,,,,,
2034,think,think,834.85,834.89,0,,,,,,,
2035,something's,,,,0,,,,,,,
2036,different,,,,1,,,end quote,,,,
2037,and,,,,0,,,,,,,
2038,then,,,,0,,,,,,,
2039,sherlock,sherlock,835.06,835.47,0,,,,,,,
2040,says,says,835.47,835.87,1,,,,,,,
2041,well,well,836.179999,836.509999,1,,2,start quote,,,,
2042,if,if,836.54,836.71,0,,,,,,,
2043,there,there,836.77,837.01,0,,,,,,,
2044,wasn't,wasn't,837.02,837.32,0,,,,,,,
2045,anything,anything,837.32,837.69,0,,,,,,,
2046,different,different,838.05,838.42,0,,,,,,,
2047,you,you,838.51,838.73,0,,,,,,,
2048,wouldn't,wouldn't,838.73,838.99,0,,,,,,,
2049,have,have,839.01,839.24,0,,,,,,,
2050,come,come,839.25,839.49,0,,,,,,,
2051,to,to,839.66,839.74,0,,,,,,,
2052,me,me,839.74,840.4,1,,,end quote,,,,
2053,um,um,840.57,840.79,0,,1,,,,,
2054,something,something,842.29,842.66,0,,,,,,,
2055,along,along,842.75,842.82,0,,,,,,,
2056,those,those,842.82,842.85,0,,,,,,,
2057,lines,lines,842.85,842.89,1,,,,,,,
2058,and,and,843.55,843.68,0,,,,,,,
2059,then,then,843.68,844,0,,,,,,,
2060,um,um,844.04,844.6,0,,1,,,,,
2061,the,,,,0,,,,,,,
2062,policeman,,,,0,,,,,,,
2063,says,says,847.21,847.6,2,,,,,,,
2064,uh,uh,848.01,848.37,0,,1,,,,,
2065,they,they,848.82,849.37,2,,,changes her mind,,,,
2066,you,you,849.38,849.59,0,,,,,,,
2067,know,know,849.59,849.7,0,,,,,,,
2068,how,how,849.7,849.81,0,,,,,,,
2069,they,they,849.81,849.92,0,,,,,,,
2070,never,never,849.92,850.24,0,,,,,,,
2071,leave,leave,850.24,850.39,0,,,,,,,
2072,a,a,850.46,850.47,0,,,,,,,
2073,note,note,850.47,850.68,1,,,,,,,
2074,they,they,850.73,850.88,0,,,,,,,
2075,left,left,850.88,851.06,0,,,,,,,
2076,a,a,851.06,851.07,0,,,,,,,
2077,note,note,851.07,851.35,1,,,,,,,
2078,so,so,851.87,852.23,0,,2,,,,,
2079,um,um,852.24,852.26,0,,1,,,,,
2080,he,he,853.05,853.07,0,,,,,,,
2081,leaves,leaves,853.71,854.3,0,,,,,,,
2082,after,after,854.3,854.59,1,,,,,,,
2083,or,or,854.84,855.25,0,,,,,,,
2084,no,no,855.27,855.38,1,,,,,,,
2085,he,he,855.38,855.52,0,,,,,,,
2086,asks,asks,855.52,855.73,0,,,,,,,
2087,sherlock,sherlock,856.15,856.53,1,,,start quote,,,,
2088,will,will,856.53,856.64,0,,,,,,,
2089,you,you,856.639999,856.769999,0,,,,,,,
2090,come,come,856.77,857.02,1,,,end quote,,,,
2091,and,and,857.04,857.14,0,,,,,,,
2092,then,then,857.139999,857.169999,0,,,,,,,
2093,sherlock,sherlock,857.269999,857.739999,0,,,,,,,
2094,kind,kind,858.029999,858.179999,0,,,,,,,
2095,of,of,858.179999,858.259999,0,,,,,,,
2096,nonchalantly,nonchalantly,858.259999,858.619999,0,,,,,,,
2097,says,says,858.79,858.95,1,,,,,,,
2098,like,like,858.95,859.18,0,,1,start quote,,,,
2099,I'll,i'll,859.25,859.4,0,,,,,,,
2100,be,be,859.4,859.53,0,,,,,,,
2101,out,out,859.53,859.75,0,,,,,,,
2102,behind,behind,859.75,860.05,0,,,,,,,
2103,you,you,860.049999,860.249999,1,,,end quote,,,,
2104,and,and,860.549999,860.699999,0,,,,,,,
2105,then,then,860.7,860.82,0,,,,,,,
2106,so,,,,0,,2,,,,,
2107,the,the,861.17,861.33,0,,,,,,,
2108,policeman,policeman,861.33,861.79,0,,,,,,,
2109,leaves,leaves,861.79,862,1,,,,,,,
2110,um,um,862.54,862.85,0,,1,,,,,
2111,sherlock,sherlock,863.02,863.6,0,,,,,,,
2112,is,is,864.3,864.78,0,,,,,,,
2113,suddenly,suddenly,865.97,866.28,0,,,,,,,
2114,like,like,866.28,866.43,0,,1,,,,,
2115,bursts,bursts,866.44,866.73,0,,,,,,,
2116,out,out,866.73,866.86,1,,,,,,,
2117,he's,,,,0,,,,,,,
2118,really,really,867.05,867.45,0,,,,,,,
2119,excited,excited,867.46,867.89,1,,,,,,,
2120,he,he,867.89,868.03,0,,,,,,,
2121,says,says,868.03,868.24,0,,,,,,,
2122,this,,,,0,,,,,,,
2123,is,,,,0,,,,,,,
2124,so,so,868.4,868.64,0,,,,,,,
2125,much,much,868.65,868.7,0,,,,,,,
2126,fun,fun,868.7,869.02,1,,,,,,,
2127,and,and,869.34,869.69,0,,,,,,,
2128,um,um,869.7,870.11,0,,1,,,,,
2129,quickly,quickly,870.77,871.36,0,,,,,,,
2130,goes,goes,871.69,871.94,0,,,,,,,
2131,after,after,871.95,872.23,0,,,,,,,
2132,him,him,872.23,872.5,1,,,,,,,
2133,um,um,872.59,872.92,0,,1,,,,,
2134,so,so,874.36,874.38,0,,2,,,,,
2135,now,now,874.38,874.61,0,,,,,,,
2136,in,,,,0,,,,,,,
2137,the,the,874.9,875.14,0,,,,,,,
2138,flat,flat,875.139999,875.469999,0,,,,,,,
2139,there's,there's,875.469999,875.719999,0,,,,,,,
2140,just,just,875.719999,875.939999,0,,,,,,,
2141,the,the,876,876.12,0,,,,,,,
2142,landlady,landlady,876.12,876.7,1,,,,,,,
2143,and,and,876.71,877.03,0,,,,,,,
2144,watson,watson,877.03,877.21,0,,,,,,,
2145,left,left,877.42,877.64,1,,,,,,,
2146,and,and,878.25,878.41,0,,,,,,,
2147,then,then,878.41,878.65,0,,,,,,,
2148,um,um,878.7,878.95,0,,1,,,,,
2149,watson,watson,879.17,879.56,0,,,,,,,
2150,asks,,,,0,,,,,,,
2151,for,for,879.83,880.22,0,,,,,,,
2152,tea,tea,880.299999,880.759999,0,,,,,,,
2153,and,and,880.76,880.93,0,,,,,,,
2154,biscuits,biscuits,880.93,881.38,1,,,,,,,
2155,and,and,881.379999,881.479999,0,,,,,,,
2156,the,the,881.48,881.57,0,,,,,,,
2157,landlady,landlady,881.57,882.23,0,,,,,,,
2158,says,,,,0,,,,,,,
2159,to,,,,0,,,,,,,
2160,him,him,882.61,882.87,0,,,,,,,
2161,what,what,882.87,882.98,0,,,,,,,
2162,she,she,882.98,883.13,0,,,,,,,
2163,said,said,883.14,883.32,0,,,,,,,
2164,earlier,earlier,883.32,883.53,0,,,,,,,
2165,to,to,883.53,883.67,0,,,,,,,
2166,sherlock,sherlock,883.67,884.03,0,,,,,,,
2167,about,about,884.04,884.24,0,,,,,,,
2168,not,not,884.24,884.45,0,,,,,,,
2169,being,being,884.45,884.61,0,,,,,,,
2170,a,a,884.61,884.66,0,,,,,,,
2171,housekeeper,housekeeper,884.66,885.13,1,,,,,,,
2172,um,um,885.69,886.13,0,,1,,,,,
2173,sherlock,sherlock,886.17,886.61,0,,,,,,,
2174,now,now,886.61,886.79,0,,,,,,,
2175,reappears,<unk>,886.79,887.29,0,,,,,,,
2176,really,really,887.29,887.44,0,,,,,,,
2177,quickly,quickly,887.44,887.95,1,,,,,,,
2178,and,and,888.3,888.45,0,,,,,,,
2179,then,then,888.45,888.57,0,,,,,,,
2180,there's,there's,888.57,888.79,0,,,,,,,
2181,like,like,888.79,888.93,0,,1,,,,,
2182,a,a,888.94,889.16,0,,,,,,,
2183,witty,witty,889.16,889.41,0,,,,,,,
2184,exchange,exchange,889.41,889.98,0,,,,,,,
2185,between,between,890.03,890.5,0,,,,,,,
2186,him,him,890.82,890.98,0,,,,,,,
2187,and,and,891.11,891.21,0,,,,,,,
2188,watson,watson,891.21,891.85,1,,,,,,,
2189,sherlock,sherlock,891.85,892.27,0,,,,,,,
2190,says,,,,1,,,,,,,
2191,um,um,893.099999,893.799999,0,,1,start quote,,,,
2192,you're,you're,894.05,894.22,0,,,,,,,
2193,a,a,894.219999,894.279999,0,,,,,,,
2194,doctor,doctor,894.28,894.8,1,,,,,,,
2195,I'm,i'm,894.809999,894.829999,0,,,,,,,
2196,sure,sure,894.83,895,0,,,,,,,
2197,you've,you've,895,895.16,0,,,,,,,
2198,seen,seen,895.16,895.44,0,,,,,,,
2199,lots,lots,895.84,896.13,0,,,,,,,
2200,of,of,896.13,896.31,0,,,,,,,
2201,like,like,896.309999,896.549999,0,,1,,,,,
2202,gruesome,gruesome,896.86,897.63,0,,,,,,,
2203,violent,violent,897.65,898.09,0,,,,,,,
2204,things,things,898.09,898.51,1,,,end quote,,,,
2205,and,and,898.51,898.69,0,,,,,,,
2206,then,then,898.690001,898.960001,0,,,,,,,
2207,uh,uh,899.41,899.6,0,,1,,,,,
2208,watson,watson,899.6,899.96,0,,,,,,,
2209,says,says,899.959999,900.209999,1,,,,,,,
2210,yeah,yeah,900.219999,900.499999,1,,,start quote,,,,
2211,like,like,900.5,900.67,0,,1,,,,,
2212,more,more,900.68,900.94,0,,,,,,,
2213,than,than,900.94,901.26,0,,,,,,,
2214,enough,enough,901.359999,901.709999,1,,,,,,,
2215,more,more,901.73,902.03,0,,,,,,,
2216,than,than,902.03,902.21,0,,,,,,,
2217,more,more,902.21,902.35,0,,,repetition,,,,
2218,than,than,902.35,902.47,0,,,,,,,
2219,you,you,902.47,902.55,0,,,,,,,
2220,can,can,902.55,902.65,0,,,,,,,
2221,imagine,imagine,902.65,903.08,1,,,end quote,,,,
2222,and,and,903.1,903.24,0,,,,,,,
2223,then,then,903.24,903.43,0,,,,,,,
2224,sherlock,sherlock,904.21,904.6,0,,,,,,,
2225,says,says,904.6,904.88,1,,,,,,,
2226,want,want,905.41,905.55,0,,,start quote,,,,
2227,to,to,905.55,905.6,0,,,,,,,
2228,see,see,905.77,905.89,0,,,,,,,
2229,more,more,905.89,906.24,1,,,end quote,,,,
2230,and,and,906.26,906.44,0,,,,,,,
2231,then,then,906.44,906.63,0,,,,,,,
2232,watson,watson,906.63,907.07,0,,,,,,,
2233,replies,replies,907.68,908.15,0,,,,,,,
2234,affirmatively,<unk>,908.22,908.77,1,,,,,,,
2235,and,and,908.79,909.14,0,,,,,,,
2236,those,those,909.55,909.76,0,,,,,,,
2237,two,two,909.94,910.04,0,,,,,,,
2238,go,go,910.04,910.29,0,,,,,,,
2239,to,to,910.38,910.46,0,,,,,,,
2240,the,the,910.46,910.64,0,,,,,,,
2241,scene,scene,910.679999,910.839999,0,,,,,,,
2242,of,,,,0,,,,,,,
2243,the,the,910.88,910.97,0,,,,,,,
2244,crime,crime,910.969999,911.289999,1,,,,,,,
2245,um,um,911.349999,911.749999,0,,1,,,,,
2246,on,on,912.619999,912.639999,0,,,,,,,
2247,the,the,912.809999,912.939999,0,,,,,,,
2248,way,way,912.94,913.15,0,,,,,,,
2249,there,there,913.15,913.46,0,,,,,,,
2250,they,they,913.46,913.56,0,,,,,,,
2251,have,have,913.559999,913.719999,0,,,,,,,
2252,a,a,913.719999,913.779999,0,,,,,,,
